x,y,z,SaliencyScore,NormalizedScore,Labels,EEGScore,NormalizedEEG,NormalizedCombinedScore
0.3098,0.005,0.3898,7.465759849906191,0.2643229599123186,"['Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection']",-28.0,-0.2692307692307692,-0.07116387382254731
-0.5427,-0.005,0.3732,0.0,0.0,[],0.0,0.0,0.0
0.1977,0.0197,0.2147,0.0,0.0,[],0.0,0.0,0.0
0.2999,0.195,0.1993,0.0,0.0,[],0.0,0.0,0.0
-0.1633,0.195,0.2798,0.0,0.0,[],0.0,0.0,0.0
0.0273,-0.205,0.255,0.0,0.0,[],0.0,0.0,0.0
-0.1568,0.015,0.1527,0.0,0.0,[],0.0,0.0,0.0
0.5642,0.1958,0.1708,0.27251407129455907,0.009648277923544455,['Attention'],1.0,0.14285714285714285,0.012238793394000674
-0.4349,-0.205,0.4208,0.0,0.0,[],0.0,0.0,0.0
0.2702,0.205,0.3438,1.4965603502188867,0.05298526464955108,"['Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection']",-5.0,-0.04807692307692308,-0.002547368492766879
-0.0087,0.015,0.1128,0.0,0.0,[],0.0,0.0,0.0
-0.2044,0.0519,-0.0595,0.0,0.0,[],0.0,0.0,0.0
-0.3198,0.0582,-0.0437,0.0,0.0,[],0.0,0.0,0.0
0.0826,-0.0817,0.6832,0.0,0.0,[],0.0,0.0,0.0
0.0243,-0.005,-0.3958,0.0,0.0,[],0.0,0.0,0.0
0.3581,-0.005,0.4854,1.5759849906191368,0.05579726991929323,"['Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection']",-6.0,-0.057692307692307696,-0.0032190732645746094
0.1666,-0.0255,-0.6279,0.0,0.0,[],0.0,0.0,0.0
0.1581,-0.205,0.6553,0.0,0.0,[],0.0,0.0,0.0
0.5086,-0.04,0.6832,0.0,0.0,[],0.0,0.0,0.0
0.2951,0.195,0.1661,0.0,0.0,[],0.0,0.0,0.0
0.0877,0.195,0.4253,0.0,0.0,[],0.0,0.0,0.0
0.0289,-0.205,-0.3724,0.0,0.0,[],0.0,0.0,0.0
0.0968,-0.005,-0.6918,0.0,0.0,[],0.0,0.0,0.0
-0.0407,-0.0735,0.0575,2.794402751719825,0.09893498068130238,"['Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection']",-9.0,-0.08653846153846154,-0.008561681020497322
