Epoch,Form_Type,Form_Number,Class,True_Count,Predicted_Count,F1_Score,Accuracy
1,curved,12,Class 1,107,3996,0.024,45.8%
1,curved,12,Class 2,12606,2704,0.313,19.0%
1,curved,12,Class 3,15,2204,0.002,13.3%
1,curved,12,Class 4,3,2790,0.000,0.0%
1,curved,2,Class 0,1264,2775,0.126,20.2%
1,curved,2,Class 1,67,4049,0.010,31.3%
1,curved,2,Class 2,13658,2843,0.314,19.0%
1,curved,2,Class 3,7,2381,0.000,0.0%
1,curved,2,Class 4,4,2952,0.000,0.0%
1,curved,14,Class 0,1306,3120,0.137,23.2%
1,curved,14,Class 1,110,4237,0.028,55.5%
1,curved,14,Class 2,13553,2698,0.313,18.7%
1,curved,14,Class 3,25,2113,0.000,0.0%
1,curved,14,Class 4,6,2832,0.000,0.0%
1,curved,7,Class 0,3192,2806,0.239,22.5%
1,curved,7,Class 1,133,4354,0.032,54.1%
1,curved,7,Class 2,11660,2852,0.323,20.1%
1,curved,7,Class 3,12,2180,0.001,8.3%
1,curved,7,Class 4,3,2808,0.000,0.0%
1,curved,11,Class 0,3036,3052,0.210,21.0%
1,curved,11,Class 1,320,4117,0.052,36.2%
1,curved,11,Class 2,11546,2817,0.304,18.9%
1,curved,11,Class 3,69,2101,0.008,13.0%
1,curved,11,Class 4,29,2913,0.003,13.8%
1,rect,4,Class 0,1751,2820,0.178,23.2%
1,rect,4,Class 1,276,4210,0.049,40.2%
1,rect,4,Class 2,12941,2760,0.322,19.5%
1,rect,4,Class 3,28,2183,0.005,17.9%
1,rect,4,Class 4,4,3027,0.000,0.0%
1,rect,6,Class 0,1679,3124,0.193,27.6%
1,rect,6,Class 1,118,4065,0.023,40.7%
1,rect,6,Class 2,13156,2849,0.325,19.8%
1,rect,6,Class 3,41,2044,0.003,7.3%
1,rect,6,Class 4,6,2918,0.000,0.0%
1,rect,11,Class 0,2457,2681,0.197,20.6%
1,rect,11,Class 1,265,4521,0.053,48.3%
1,rect,11,Class 2,12240,2652,0.302,18.4%
1,rect,11,Class 3,26,2144,0.005,19.2%
1,rect,11,Class 4,12,3002,0.000,0.0%
1,curved,1,Class 0,3476,3070,0.255,24.0%
1,curved,1,Class 1,91,4185,0.024,56.0%
1,curved,1,Class 2,11413,2808,0.319,19.9%
1,curved,1,Class 3,15,2012,0.000,0.0%
1,curved,1,Class 4,5,2925,0.000,0.0%
1,rect,2,Class 0,2497,2898,0.205,22.2%
1,rect,2,Class 1,71,4239,0.019,57.7%
1,rect,2,Class 2,12415,2793,0.316,19.3%
1,rect,2,Class 3,12,2088,0.004,33.3%
1,rect,2,Class 4,5,2982,0.000,0.0%
1,rect,1,Class 0,2175,2953,0.211,24.9%
1,rect,1,Class 1,52,4246,0.009,38.5%
1,rect,1,Class 2,12752,2787,0.314,19.2%
1,rect,1,Class 3,13,2048,0.000,0.0%
1,rect,1,Class 4,8,2966,0.001,12.5%
1,rect,13,Class 0,1660,2983,0.191,26.7%
1,rect,13,Class 1,241,4324,0.051,48.1%
1,rect,13,Class 2,13015,2771,0.321,19.5%
1,rect,13,Class 3,67,2032,0.010,14.9%
1,rect,13,Class 4,17,2890,0.000,0.0%
1,curved,10,Class 0,3253,3083,0.242,23.5%
1,curved,10,Class 1,93,4254,0.019,45.2%
1,curved,10,Class 2,11644,2741,0.312,19.3%
