x,y,z,EEGScore,NormalizedEEGScore
-0.3776,-0.005,-0.3104,0.0,0.0
0.0561,0.005,-0.0836,0.0,0.0
0.4943,-0.015,-0.2207,3.0,-0.8723404255319149
0.2481,-0.015,-0.2099,0.0,0.0
-0.37,0.005,-0.1532,0.0,0.0
0.0715,0.005,-0.4045,0.0,0.0
0.0873,0.205,-0.0127,0.0,0.0
-0.6381,0.005,-0.376,0.0,0.0
0.4155,-0.015,-0.2743,1.0,-0.9574468085106383
-0.6035,-0.005,-0.2958,0.0,0.0
-0.6587,-0.1974,0.571,0.0,0.0
-0.2779,-0.0824,0.0354,1.0,-0.9574468085106383
-0.0045,0.205,-0.3269,0.0,0.0
-0.5694,0.005,-0.2492,0.0,0.0
0.1005,-0.1931,-0.479,0.0,0.0
-0.0391,0.005,-0.0791,0.0,0.0
0.66,-0.0781,-0.0629,3.0,-0.8723404255319149
-0.4357,-0.005,-0.2455,0.0,0.0
-0.6587,-0.0511,-0.3584,0.0,0.0
0.2484,-0.0733,-0.479,10.0,-0.574468085106383
-0.1845,-0.005,-0.0286,1.0,-0.9574468085106383
0.1993,0.215,0.0303,3.0,-0.8723404255319149
-0.4789,-0.0973,0.5813,0.0,0.0
0.0465,0.005,-0.4138,0.0,0.0
0.1932,-0.015,-0.4026,0.0,0.0
-0.2724,-0.0388,-0.0746,7.0,-0.7021276595744681
0.3494,-0.015,-0.0883,2.0,-0.9148936170212766
0.0858,0.205,-0.083,0.0,0.0
-0.1859,0.005,-0.4838,0.0,0.0
-0.5965,0.205,-0.3267,0.0,0.0
0.2359,-0.005,-0.4834,25.0,0.06382978723404253
-0.2179,-0.005,0.5632,0.0,0.0
-0.4957,-0.1492,0.5813,0.0,0.0
-0.0737,-0.005,0.0041,0.0,0.0
0.0126,-0.005,-0.3749,0.0,0.0
-0.045,-0.005,-0.2526,0.0,0.0
-0.0491,0.205,-0.3263,0.0,0.0
0.2594,-0.005,-0.3646,1.0,-0.9574468085106383
0.1813,0.1765,0.0625,12.0,-0.4893617021276596
0.1654,-0.015,-0.0225,0.0,0.0
0.65,-0.1044,-0.1231,0.0,0.0
0.66,-0.2149,-0.0102,1.0,-0.9574468085106383
0.2633,-0.015,-0.1052,0.0,0.0
-0.629,0.005,-0.1806,0.0,0.0
0.0973,0.205,0.2675,0.0,0.0
0.3356,-0.1484,-0.479,0.0,0.0
