x,y,z,SaliencyScore,NormalizedScore,Labels,EEGScore,NormalizedEEG,NormalizedCombinedScore
-0.0059,0.2006,0.2438,0.0,0.0,[],0.0,0.0,0.0
-0.2842,-0.1994,0.6259,0.0,0.0,[],0.0,0.0,0.0
-0.1465,-0.0819,0.5905,0.0,0.0,[],0.0,0.0,0.0
-0.2895,0.1706,0.2411,0.0,0.0,[],0.0,0.0,0.0
0.0653,0.1556,-0.2565,0.0,0.0,[],0.0,0.0,0.0
0.2559,-0.1745,-0.0265,0.0,0.0,[],0.0,0.0,0.0
0.3493,-0.1275,0.0538,0.0,0.0,[],0.0,0.0,0.0
-0.4712,0.0006,0.2464,0.0,0.0,[],0.0,0.0,0.0
0.0882,-0.0809,0.2453,1.274516129032258,0.11077155994168442,"['Rejection', 'Rejection', 'Attention', 'Attention']",0.0,0.0,0.0
-0.5704,-0.1481,-0.0488,0.0,0.0,[],0.0,0.0,0.0
-0.1773,-0.1994,0.278,0.0,0.0,[],0.0,0.0,0.0
-0.6197,-0.1994,0.5774,0.0,0.0,[],0.0,0.0,0.0
0.6963,-0.0239,0.0485,0.0,0.0,[],0.0,0.0,0.0
0.4406,0.1399,-0.1129,0.0,0.0,[],0.0,0.0,0.0
0.3971,0.0279,-0.0399,0.0,0.0,[],0.0,0.0,0.0
-0.6295,-0.1257,0.5723,0.0,0.0,[],0.0,0.0,0.0
-0.1167,-0.1994,-0.1588,0.0,0.0,[],0.0,0.0,0.0
-0.47,0.1779,-0.2023,2.3893548387096777,0.20766513401368175,"['Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection']",-8.0,-0.21052631578947367,-0.04812865497076025
-0.1398,0.2006,-0.0039,0.0,0.0,[],0.0,0.0,0.0
-0.271,-0.1994,0.6479,0.0,0.0,[],0.0,0.0,0.0
0.4286,-0.1959,-0.2307,0.0,0.0,[],0.0,0.0,0.0
-0.3675,0.0006,0.4639,0.0,0.0,[],0.0,0.0,0.0
-0.2428,-0.1994,0.1944,0.0,0.0,[],0.0,0.0,0.0
-0.5259,-0.142,-0.5172,0.0,0.0,[],0.0,0.0,0.0
0.0545,0.155,0.2487,0.0,0.0,[],0.0,0.0,0.0
0.1724,-0.1375,-0.3465,0.0,0.0,[],0.0,0.0,0.0
-0.0442,-0.0698,-0.4849,0.38924731182795697,0.03383051100893424,['Rejection'],-1.0,-0.02631578947368421,-0.0009800736408923545
-0.1574,0.2006,0.1147,0.3263440860215054,0.02836342566633023,['Rejection'],-1.0,-0.02631578947368421,-0.0008216915746155514
-0.1225,0.1992,0.1975,0.0,0.0,[],0.0,0.0,0.0
0.6309,-0.0095,0.4865,0.0,0.0,[],0.0,0.0,0.0
-0.0832,-0.1994,-0.135,0.0,0.0,[],0.0,0.0,0.0
-0.2441,0.0006,-0.1778,0.0,0.0,[],0.0,0.0,0.0
-0.0767,-0.1994,-0.3515,0.0,0.0,[],0.0,0.0,0.0
0.3685,-0.0835,0.123,0.0,0.0,[],0.0,0.0,0.0
-0.1318,-0.1994,0.2983,4.229247311827956,0.3675750439235916,"['Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection']",-16.0,-0.42105263157894735,-0.17037903400476498
0.3432,0.0006,0.1438,0.0,0.0,[],0.0,0.0,0.0
0.6057,-0.1994,-0.0235,0.0,0.0,[],0.0,0.0,0.0
-0.2305,-0.1679,-0.6124,0.0,0.0,[],0.0,0.0,0.0
-0.3354,0.0006,0.5729,0.0,0.0,[],0.0,0.0,0.0
-0.3475,0.1818,0.0045,2.8662365591397845,0.2491121827221412,"['Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection']",-9.0,-0.23684210526315788,-0.06495126705653022
0.44,0.0006,0.1549,0.0,0.0,[],0.0,0.0,0.0
-0.2997,0.1706,-0.1693,0.0,0.0,[],0.0,0.0,0.0
0.0433,-0.1994,0.2402,0.0,0.0,[],0.0,0.0,0.0
-0.546,-0.0806,-0.3059,0.0,0.0,[],0.0,0.0,0.0
-0.3645,-0.1012,0.7054,0.0,0.0,[],0.0,0.0,0.0
0.106,-0.1994,-0.1803,0.0,0.0,[],0.0,0.0,0.0
0.6313,0.0772,-0.7153,0.0,0.0,[],0.0,0.0,0.0
-0.3304,-0.0063,0.7087,0.0,0.0,[],0.0,0.0,0.0
0.5019,-0.1994,0.1599,0.0,0.0,[],0.0,0.0,0.0
-0.5975,0.0006,0.3421,0.0,0.0,[],0.0,0.0,0.0
-0.5572,-0.0038,-0.1885,0.0,0.0,[],0.0,0.0,0.0
-0.1401,-0.1211,0.5235,0.0,0.0,[],0.0,0.0,0.0
0.694,-0.1994,-0.0053,0.0,0.0,[],0.0,0.0,0.0
0.6468,-0.1307,-0.5525,0.0,0.0,[],0.0,0.0,0.0
0.1172,-0.0915,-0.1367,0.0,0.0,[],0.0,0.0,0.0
-0.0749,-0.0203,0.0546,0.0,0.0,[],0.0,0.0,0.0
0.6328,-0.1994,-0.213,0.0,0.0,[],0.0,0.0,0.0
-0.1523,-0.0186,0.6515,0.0,0.0,[],0.0,0.0,0.0
0.3493,-0.1081,-0.2853,0.0,0.0,[],0.0,0.0,0.0
0.4787,-0.1994,0.1389,0.0,0.0,[],0.0,0.0,0.0
-0.432,-0.1994,-0.4083,0.0,0.0,[],0.0,0.0,0.0
-0.516,0.0006,0.1806,0.0,0.0,[],0.0,0.0,0.0
0.4624,0.1006,-0.1725,0.0,0.0,[],0.0,0.0,0.0
0.1547,-0.1646,-0.5321,0.0,0.0,[],0.0,0.0,0.0
0.5988,-0.1994,-0.3088,0.0,0.0,[],0.0,0.0,0.0
0.3538,-0.1994,0.1029,0.0,0.0,[],0.0,0.0,0.0
0.4923,-0.1045,0.2506,0.0,0.0,[],0.0,0.0,0.0
0.2535,-0.0799,0.4806,0.0,0.0,[],0.0,0.0,0.0
-0.4989,0.0006,0.1594,0.0,0.0,[],0.0,0.0,0.0
-0.2156,0.0006,-0.2826,0.0,0.0,[],0.0,0.0,0.0
0.5721,-0.0161,0.4483,0.5536559139784947,0.048119696459945425,"['Rejection', 'Rejection']",-2.0,-0.05263157894736842,-0.0027880658436214
-0.5147,0.0001,0.6911,0.0,0.0,[],0.0,0.0,0.0
-0.5406,-0.1994,-0.3496,0.0,0.0,[],0.0,0.0,0.0
0.5863,-0.1145,-0.0579,0.0,0.0,[],0.0,0.0,0.0
-0.1547,-0.1994,0.3078,0.0,0.0,[],0.0,0.0,0.0
0.1976,-0.1985,0.423,0.0,0.0,[],0.0,0.0,0.0
0.3539,-0.1994,-0.1677,0.0,0.0,[],0.0,0.0,0.0
0.2997,-0.1119,-0.4296,0.0,0.0,[],0.0,0.0,0.0
0.4593,0.1784,0.0719,0.0,0.0,[],0.0,0.0,0.0
0.094,0.0681,0.0743,0.0,0.0,[],0.0,0.0,0.0
-0.1434,0.0006,-0.3733,0.705268817204301,0.06129677395237561,"['Rejection', 'Rejection', 'Rejection']",-3.0,-0.07894736842105263,-0.0053273229369720605
0.6409,-0.0967,-0.6145,0.0,0.0,[],0.0,0.0,0.0
0.462,0.1421,0.2074,0.0,0.0,[],0.0,0.0,0.0
-0.5347,-0.1213,-0.4243,0.0,0.0,[],0.0,0.0,0.0
0.16,0.066,-0.4764,0.3165591397849462,0.027512990168591826,['Rejection'],-1.0,-0.02631578947368421,-0.0007970543643058262
0.5561,0.0006,0.4495,0.0,0.0,[],0.0,0.0,0.0
0.411,0.2006,-0.1441,0.0,0.0,[],0.0,0.0,0.0
0.6013,-0.0095,0.5469,1.0662365591397849,0.09266943291839556,"['Rejection', 'Rejection', 'Rejection', 'Rejection']",-4.0,-0.10526315789473684,-0.010738574832142085
0.63,0.1006,-0.282,0.0,0.0,[],0.0,0.0,0.0
0.564,-0.15,0.0828,0.0,0.0,[],0.0,0.0,0.0
-0.5099,0.0006,0.2067,0.0,0.0,[],0.0,0.0,0.0
0.3235,-0.0472,0.2214,0.0,0.0,[],0.0,0.0,0.0
-0.0775,-0.1994,-0.051,0.0,0.0,[],0.0,0.0,0.0
-0.6999,0.1706,-0.0738,0.0,0.0,[],0.0,0.0,0.0
-0.3935,-0.1994,0.071,0.0,0.0,[],0.0,0.0,0.0
0.3209,-0.1994,0.412,0.0,0.0,[],0.0,0.0,0.0
0.264,-0.1872,-0.0246,0.0,0.0,[],0.0,0.0,0.0
0.0373,-0.1994,0.1692,0.0,0.0,[],0.0,0.0,0.0
-0.5868,-0.1811,0.1231,0.0,0.0,[],0.0,0.0,0.0
-0.4769,0.0006,0.4545,0.0,0.0,[],0.0,0.0,0.0
-0.5677,-0.0935,-0.0777,0.0,0.0,[],0.0,0.0,0.0
-0.5053,0.0006,-0.2498,0.0,0.0,[],0.0,0.0,0.0
0.6375,0.0511,-0.6496,0.0,0.0,[],0.0,0.0,0.0
-0.1678,0.1706,0.1945,0.0,0.0,[],0.0,0.0,0.0
0.2005,-0.1627,0.4518,0.0,0.0,[],0.0,0.0,0.0
0.3038,-0.0865,-0.6964,0.0,0.0,[],0.0,0.0,0.0
0.2103,0.0006,0.422,0.0,0.0,[],0.0,0.0,0.0
0.2301,-0.1575,-0.5898,0.0,0.0,[],0.0,0.0,0.0
0.4439,0.0971,-0.0803,0.23709677419354838,0.020606706291353593,['Rejection'],-1.0,-0.02631578947368421,-0.0005969785575048734
-0.272,-0.1994,-0.4872,0.0,0.0,[],0.0,0.0,0.0
-0.252,0.2006,0.0348,0.0,0.0,[],0.0,0.0,0.0
-0.5059,-0.1994,0.625,0.0,0.0,[],0.0,0.0,0.0
0.1071,-0.1994,-0.0292,0.0,0.0,[],0.0,0.0,0.0
0.4421,-0.0348,-0.0978,0.0,0.0,[],0.0,0.0,0.0
0.1716,-0.1188,0.166,0.0,0.0,[],0.0,0.0,0.0
-0.1725,-0.1994,-0.0346,0.0,0.0,[],0.0,0.0,0.0
0.5943,0.0006,0.5271,0.9474193548387098,0.08234271616014355,"['Rejection', 'Rejection', 'Rejection']",-3.0,-0.07894736842105263,-0.007156432748538013
-0.1318,-0.1994,-0.4427,0.0,0.0,[],0.0,0.0,0.0
0.2454,0.0062,0.2294,0.0,0.0,[],0.0,0.0,0.0
-0.6025,-0.1027,0.2886,0.0,0.0,[],0.0,0.0,0.0
0.6271,-0.1994,-0.3533,0.0,0.0,[],0.0,0.0,0.0
-0.4233,0.0006,-0.6065,0.0,0.0,[],0.0,0.0,0.0
0.637,0.1006,-0.1078,0.0,0.0,[],0.0,0.0,0.0
0.3364,-0.0582,-0.284,0.0,0.0,[],0.0,0.0,0.0
0.2489,-0.1043,-0.2751,0.0,0.0,[],0.0,0.0,0.0
0.4416,0.1219,-0.1027,0.0,0.0,[],0.0,0.0,0.0
0.6105,-0.0356,-0.7256,0.0,0.0,[],0.0,0.0,0.0
-0.0977,-0.0299,0.0782,0.0,0.0,[],0.0,0.0,0.0
0.7161,-0.0218,0.1613,0.0,0.0,[],0.0,0.0,0.0
0.4216,0.0006,0.1824,0.0,0.0,[],0.0,0.0,0.0
0.2353,0.0498,-0.5405,0.0,0.0,[],0.0,0.0,0.0
-0.0752,-0.1259,-0.5977,0.0,0.0,[],0.0,0.0,0.0
0.277,-0.0028,0.4991,0.0,0.0,[],0.0,0.0,0.0
-0.1483,-0.1994,-0.1338,0.0,0.0,[],0.0,0.0,0.0
-0.5206,-0.1994,-0.2227,0.0,0.0,[],0.0,0.0,0.0
0.4096,-0.1008,-0.5952,0.0,0.0,[],0.0,0.0,0.0
0.4675,-0.1658,0.1527,0.0,0.0,[],0.0,0.0,0.0
0.2953,-0.0208,-0.188,0.0,0.0,[],0.0,0.0,0.0
0.6939,-0.0997,0.3989,0.0,0.0,[],0.0,0.0,0.0
-0.3519,0.0006,0.1764,0.0,0.0,[],0.0,0.0,0.0
0.3984,-0.1574,-0.1844,0.0,0.0,[],0.0,0.0,0.0
-0.1339,-0.1294,0.4586,0.0,0.0,[],0.0,0.0,0.0
-0.5981,-0.0359,0.2418,0.0,0.0,[],0.0,0.0,0.0
-0.1861,0.0006,-0.6035,0.0,0.0,[],0.0,0.0,0.0
0.6299,-0.0004,0.4446,0.0,0.0,[],0.0,0.0,0.0
0.3702,0.088,-0.7027,0.0,0.0,[],0.0,0.0,0.0
-0.5059,-0.1994,0.1899,0.0,0.0,[],0.0,0.0,0.0
0.168,-0.1137,-0.3925,0.0,0.0,[],0.0,0.0,0.0
0.4333,0.0006,0.1665,0.0,0.0,[],0.0,0.0,0.0
0.4764,-0.043,0.0006,0.0,0.0,[],0.0,0.0,0.0
0.2146,0.1006,-0.3187,0.0,0.0,[],0.0,0.0,0.0
-0.0299,0.2006,-0.1988,0.0,0.0,[],0.0,0.0,0.0
-0.0407,-0.0098,-0.521,0.0,0.0,[],0.0,0.0,0.0
0.3636,-0.1858,-0.0347,0.0,0.0,[],0.0,0.0,0.0
0.305,-0.1708,0.4754,0.0,0.0,[],0.0,0.0,0.0
-0.2337,-0.1126,0.7179,0.0,0.0,[],0.0,0.0,0.0
-0.4432,-0.1994,0.4772,0.0,0.0,[],0.0,0.0,0.0
-0.2,0.1706,-0.1143,0.0,0.0,[],0.0,0.0,0.0
0.6538,-0.0038,-0.4784,0.0,0.0,[],0.0,0.0,0.0
-0.4361,-0.1994,0.6877,0.0,0.0,[],0.0,0.0,0.0
0.4449,0.0721,-0.0705,0.0,0.0,[],0.0,0.0,0.0
0.1483,-0.1502,-0.6516,0.0,0.0,[],0.0,0.0,0.0
0.6384,0.1006,-0.2188,0.0,0.0,[],0.0,0.0,0.0
-0.3107,-0.1994,0.3872,0.0,0.0,[],0.0,0.0,0.0
0.3912,-0.1994,0.3913,0.0,0.0,[],0.0,0.0,0.0
0.7079,0.0006,0.3865,0.0,0.0,[],0.0,0.0,0.0
0.3984,0.0128,-0.2903,0.0,0.0,[],0.0,0.0,0.0
-0.6389,-0.1357,0.6705,0.0,0.0,[],0.0,0.0,0.0
-0.1466,0.1898,-0.04,0.0,0.0,[],0.0,0.0,0.0
0.2531,0.0564,-0.6251,0.0,0.0,[],0.0,0.0,0.0
-0.1017,-0.116,0.1193,0.0,0.0,[],0.0,0.0,0.0
0.2067,-0.0008,-0.0218,0.0,0.0,[],0.0,0.0,0.0
-0.5063,-0.1994,-0.5411,0.0,0.0,[],0.0,0.0,0.0
-0.4159,-0.1994,0.605,0.0,0.0,[],0.0,0.0,0.0
0.4844,-0.049,-0.7136,0.0,0.0,[],0.0,0.0,0.0
-0.0688,-0.0927,-0.2261,0.0,0.0,[],0.0,0.0,0.0
-0.1736,0.0006,0.4197,0.0,0.0,[],0.0,0.0,0.0
-0.525,-0.0771,-0.5264,0.0,0.0,[],0.0,0.0,0.0
0.6536,-0.1492,-0.4803,0.0,0.0,[],0.0,0.0,0.0
-0.0579,-0.1994,-0.0679,0.0,0.0,[],0.0,0.0,0.0
0.2532,-0.013,-0.2589,0.0,0.0,[],0.0,0.0,0.0
-0.5257,-0.0829,-0.5186,0.0,0.0,[],0.0,0.0,0.0
0.4082,0.0314,-0.7063,0.0,0.0,[],0.0,0.0,0.0
-0.031,0.2006,0.0977,0.0,0.0,[],0.0,0.0,0.0
-0.6888,0.1706,0.1312,0.0,0.0,[],0.0,0.0,0.0
-0.0858,-0.1994,-0.473,0.0,0.0,[],0.0,0.0,0.0
-0.6128,0.0006,0.4145,0.0,0.0,[],0.0,0.0,0.0
-0.5504,-0.1831,-0.2598,0.0,0.0,[],0.0,0.0,0.0
-0.5511,0.0006,0.5641,0.0,0.0,[],0.0,0.0,0.0
-0.5281,-0.1751,-0.4938,0.0,0.0,[],0.0,0.0,0.0
-0.0933,0.0006,-0.4565,0.0,0.0,[],0.0,0.0,0.0
-0.51,-0.1994,-0.129,0.5581720430107526,0.0485122051512093,"['Rejection', 'Rejection']",-2.0,-0.05263157894736842,-0.002810807883907299
0.1837,-0.1994,0.0676,0.0,0.0,[],0.0,0.0,0.0
-0.7015,0.2006,0.227,0.0,0.0,[],0.0,0.0,0.0
-0.5583,-0.0538,-0.1763,0.0,0.0,[],0.0,0.0,0.0
-0.243,0.1706,0.0582,0.0,0.0,[],0.0,0.0,0.0
-0.145,-0.1211,-0.2352,0.0,0.0,[],0.0,0.0,0.0
0.1881,-0.0063,-0.5026,0.0,0.0,[],0.0,0.0,0.0
