x,y,z,SaliencyScore,NormalizedScore
0.4703,-0.0709,0.3355,6.327328849166127,0.20361293957184365
0.1011,-0.0766,0.6752,0.0,0.0
-0.4638,-0.2042,-0.5005,0.0,0.0
-0.311,-0.1175,0.669,2.120243250714088,0.06822925932514974
0.1231,0.1308,-0.2909,0.0,0.0
-0.3075,-0.0252,-0.5106,0.0,0.0
0.158,-0.0683,-0.1181,0.0,0.0
-0.1911,-0.0041,-0.7193,0.4782548604072606,0.015390203403902035
0.439,0.1508,-0.1052,0.0,0.0
0.0296,-0.2683,0.5635,0.0,0.0
0.0266,-0.0506,1.03,0.0,0.0
-0.128,-0.0583,0.2052,0.0,0.0
0.272,-0.0583,-0.2853,0.0,0.0
0.3924,-0.0868,0.4613,1.317009121901778,0.0423812488880982
-0.1677,-0.0683,-0.6264,0.0,0.0
-0.0606,-0.0068,-0.8086,0.0,0.0
0.3149,-0.2683,0.5218,0.31746982401179397,0.010216153709304395
-0.248,-0.1121,0.6803,0.39049110844927665,0.012565972839945443
0.0288,-0.0583,0.2694,0.0,0.0
0.39,-0.0683,-0.4749,0.0,0.0
0.4662,-0.0971,-0.3221,0.0,0.0
0.0106,-0.2683,0.0704,0.0,0.0
0.4207,-0.1432,0.5391,0.0,0.0
-0.1776,0.0104,-0.6074,0.0,0.0
0.2136,-0.0583,-0.3891,0.0,0.0
-0.3795,-0.2683,0.5496,0.0,0.0
0.2432,0.0289,-0.53,0.0,0.0
0.3697,-0.2683,-0.6136,0.0,0.0
0.5158,-0.0951,0.3857,0.8397217359255504,0.0270221787345075
0.0764,-0.0683,0.4348,0.0,0.0
-0.6661,-0.2145,0.4054,0.5483737215516447,0.017646622783609085
-0.476,-0.1526,-0.4671,0.0,0.0
0.0586,-0.2683,-0.2315,0.0,0.0
-0.5361,-0.1987,0.2308,0.0,0.0
-0.0314,0.0525,-0.3538,0.0,0.0
-0.5871,-0.1406,0.7845,0.0,0.0
0.0064,-0.0583,-0.6161,0.0,0.0
0.211,-0.0683,-0.014,0.0,0.0
0.0668,-0.2683,-0.5821,0.0,0.0
0.3687,-0.0683,-0.3673,0.0,0.0
0.41,-0.2683,0.0053,0.0,0.0
0.252,-0.0683,-0.6355,0.0,0.0
-0.052,-0.0198,-0.9905,0.0,0.0
0.4402,-0.2235,0.0983,5.805814060628397,0.18683063511830636
-0.1928,-0.0683,-0.1407,0.0,0.0
0.2124,-0.2683,0.1113,0.3866212107251451,0.012441439838700113
0.3106,0.2014,-0.2128,0.48212475813139216,0.015514736405147363
0.1137,-0.2683,0.3569,0.2932829632359716,0.009437822451521081
-0.4691,-0.2,0.2784,0.0,0.0
-0.1156,-0.0752,0.6139,0.0,0.0
-0.674,-0.1746,-0.362,0.0,0.0
-0.4754,-0.2283,-0.2273,0.0,0.0
0.0347,-0.2683,0.209,0.0,0.0
0.0965,0.0672,0.3061,0.7995945821431862,0.025730890114451763
0.4507,-0.0488,-0.4758,0.0,0.0
-0.4421,-0.2683,0.1121,0.0,0.0
-0.2316,-0.0146,-0.9285,0.0,0.0
0.4044,-0.1333,0.8402,0.0,0.0
0.4245,0.1232,0.2319,0.0,0.0
-0.0177,-0.0683,-0.3612,0.0,0.0
0.4195,-0.2683,-0.3125,0.0,0.0
-0.1277,-0.2683,0.3843,0.0,0.0
0.0867,-0.0357,-0.9717,0.0,0.0
-0.0952,0.0082,-0.7636,0.0,0.0
0.4745,-0.242,-0.3901,0.0,0.0
-0.2691,-0.1161,0.584,0.0,0.0
-0.1099,-0.2148,-0.6449,0.5464387726895789,0.01758435628298642
0.4049,-0.1105,-0.6824,0.31746982401179397,0.010216153709304395
0.1689,0.1298,0.2269,0.0,0.0
-0.2615,-0.0683,-0.4645,0.0,0.0
-0.1412,-0.2683,0.3206,0.0,0.0
-0.3239,-0.0715,0.9558,0.0,0.0
-0.6696,-0.2135,-0.1885,0.0,0.0
0.4767,-0.1437,-0.7382,0.5474062471206118,0.017615489533297755
0.0781,0.0749,0.2416,0.0,0.0
0.2369,0.1519,0.2001,0.0,0.0
0.3461,0.0674,0.3171,0.3503639546669124,0.0112746842198897
0.125,0.1666,-0.1464,0.22703399981571915,0.007305936073059361
0.0791,-0.2683,-0.2715,0.0,0.0
0.5323,0.0424,-0.3305,9.495715470376854,0.30557136926999945
0.0547,-0.0583,-0.4554,0.0,0.0
-0.0269,-0.0583,-0.0292,0.0,0.0
-0.3031,-0.0715,0.9043,0.0,0.0
-0.1517,-0.0617,0.9756,0.0,0.0
-0.2467,-0.0967,0.8005,0.0,0.0
-0.0794,-0.1011,0.6159,0.0,0.0
0.4271,-0.0508,0.4171,0.0,0.0
-0.0066,-0.0681,0.6566,0.0,0.0
0.4501,-0.0654,0.1894,1.099649866396388,0.03538664531815217
-0.0239,-0.1937,0.6203,1.6402837924997695,0.052784202099270594
0.306,-0.1301,0.7392,0.0,0.0
0.1698,-0.0683,0.5386,0.0,0.0
0.0537,-0.0583,-0.2602,0.0,0.0
0.4386,-0.1453,-0.6043,1.0909425965170918,0.03510644606535017
-0.5916,-0.1144,-0.5233,0.7754077213673638,0.024952558856668448
0.0445,0.0689,0.2486,1.347000829263798,0.04334637964774952
-0.4655,-0.1532,0.6909,0.0,0.0
0.0884,-0.0211,0.4987,0.3232746705979913,0.01040295321117239
-0.1864,-0.0153,-0.981,0.0,0.0
0.644,-0.1805,-0.6984,0.6359071224546207,0.020463440668920117
0.3181,0.1244,-0.3534,0.0,0.0
-0.2384,-0.0341,-0.2535,0.0,0.0
-0.2392,-0.0979,0.1151,0.0,0.0
0.237,-0.0583,0.3286,0.0,0.0
-0.4384,-0.112,0.7933,0.0,0.0
-0.1202,-0.0683,-0.3608,0.0,0.0
0.1579,-0.1017,0.8614,0.0,0.0
-0.4548,-0.187,0.4735,0.7098958813231364,0.022844393049872503
0.3894,-0.0661,-0.5926,3.9807887220123463,0.12810146474530035
0.2182,-0.2683,0.3313,0.0,0.0
-0.0875,-0.1787,0.6153,3.0537639362388274,0.09826988080412737
-0.5351,-0.1695,0.6147,0.4531005252004054,0.01458073889580739
-0.3521,-0.0683,-0.4851,0.0,0.0
-0.2332,-0.0683,-0.1119,0.0,0.0
0.4097,-0.0683,0.0961,0.22703399981571915,0.007305936073059361
-0.2666,-0.2683,0.3555,0.0,0.0
0.111,-0.2683,0.152,0.22993642310881782,0.007399335823993359
-0.2246,-0.102,0.7386,0.0,0.0
-0.5687,-0.2065,0.2783,0.0,0.0
0.4077,-0.0188,-0.4723,0.0,0.0
-0.0625,-0.0354,0.4049,0.7069934580300377,0.022750993298938503
-0.1754,-0.0683,0.0484,0.0,0.0
-0.5245,-0.057,-0.886,0.0,0.0
0.3846,-0.0897,-0.6349,1.4833686538284343,0.04773468540591828
-0.0878,-0.0564,0.5185,0.5445038238275131,0.017522089782363755
-0.2838,-0.2683,-0.0407,0.0,0.0
0.4116,0.2138,0.1112,0.0,0.0
-0.2277,-0.2683,0.5037,0.0,0.0
-0.6211,-0.2069,0.2574,0.0,0.0
0.242,-0.0548,-0.9186,0.0,0.0
-0.1301,-0.2683,0.1395,0.0,0.0
-0.2669,-0.1056,0.0218,0.0,0.0
0.4925,0.2326,-0.0182,2.6436929881138855,0.08507383027930975
0.7016,-0.2501,-0.5461,0.0,0.0
0.0269,-0.0043,0.4331,0.2512208605915415,0.008084267330842674
-0.3854,-0.1643,-0.0421,0.0,0.0
-0.4774,-0.1211,0.7768,0.0,0.0
0.479,-0.245,-0.4808,0.8735833410117018,0.02811184249540414
-0.5268,-0.1614,0.6855,0.890030406339261,0.028641107750696795
-0.2285,-0.0675,0.9028,0.0,0.0
0.5959,-0.247,0.5831,0.31746982401179397,0.010216153709304395
-0.161,-0.0583,-0.5904,0.0,0.0
-0.2949,-0.0583,-0.4011,0.38468626186307925,0.012379173338077447
-0.0837,0.0222,-0.6188,0.0,0.0
0.2566,0.2294,-0.0421,0.0,0.0
0.3991,-0.2683,-0.3371,0.5483737215516447,0.017646622783609085
0.238,0.0336,-0.5228,0.0,0.0
-0.472,-0.1938,0.4286,0.0,0.0
0.3865,0.2591,-0.1087,0.0,0.0
0.4438,0.0119,-0.1547,0.0,0.0
0.0145,0.0899,0.1064,0.0,0.0
-0.0076,-0.1349,-0.653,4.080162167142725,0.13129929431299295
-0.3641,-0.0285,-0.945,0.0,0.0
-0.1511,-0.0046,-0.0455,0.0,0.0
0.5499,-0.1083,-0.4588,0.5493411959826775,0.017677756033920418
0.5837,0.0173,-0.3076,3.117386897631991,0.10031726264602978
0.2429,-0.0836,0.5647,0.0,0.0
-0.5553,-0.091,-0.5372,0.0,0.0
0.4746,-0.1855,0.1861,10.9677047820879,0.35293986835082725
0.0359,0.023,-0.5876,0.0,0.0
0.7301,-0.22,-0.6275,1.44324150004607,0.04644339678586254
-0.7225,-0.2299,0.3127,0.0,0.0
0.4355,-0.2255,0.0172,2.8228600386989773,0.0908394117298227
0.382,0.2566,0.0377,0.0,0.0
0.3644,-0.0583,0.2486,0.0,0.0
-0.4342,-0.0421,-0.7794,0.5454712982585459,0.017553223032675085
0.2402,-0.0608,0.5423,0.0,0.0
0.4402,0.1541,-0.1195,0.0,0.0
-0.0637,-0.2155,0.6171,1.9596885653736291,0.06306262230919765
0.1078,0.1018,-0.3341,0.0,0.0
0.2587,-0.2683,-0.2495,0.0,0.0
0.1474,-0.2683,-0.0054,0.0,0.0
-0.0835,-0.2683,-0.5375,0.0,0.0
-0.5269,-0.1108,-0.4174,0.8639085967013728,0.027800509992290813
0.05,0.0693,-0.4408,0.44761817009121896,0.014404317144043171
0.4689,-0.2118,-0.3433,3.732239933658896,0.12010318448674613
0.4423,0.1046,-0.1407,0.0,0.0
-0.5954,-0.1924,0.5733,0.31553487514972817,0.01015388720868173
-0.1707,-0.0683,-0.6343,0.0,0.0
0.2021,0.0629,0.3348,0.0,0.0
-0.4681,-0.2549,-0.1733,0.0,0.0
0.129,0.0497,-0.5215,0.0,0.0
-0.2753,-0.0583,-0.4415,0.0,0.0
-0.3325,-0.1419,0.0715,0.0,0.0
0.3554,-0.0968,-0.7929,0.0,0.0
0.4659,0.1975,-0.2194,0.0,0.0
0.0138,-0.0583,0.4426,0.0,0.0
0.1623,0.1753,0.1037,0.0,0.0
0.2292,-0.0926,0.911,0.0,0.0
0.276,0.1461,-0.3048,0.0,0.0
0.3335,0.1901,-0.2384,0.0,0.0
0.5463,-0.2039,0.6926,0.0,0.0
0.381,-0.2683,0.2281,0.0,0.0
-0.3885,-0.1621,-0.0587,0.0,0.0
0.4105,-0.2683,0.5354,0.3232746705979913,0.01040295321117239
-0.4068,-0.1881,0.2944,8.494471574679812,0.27335142026922854
-0.1432,0.0128,-0.6677,0.0,0.0
-0.0347,-0.1407,0.6194,0.0,0.0
-0.3588,-0.2683,0.1753,0.0,0.0
0.4537,-0.1858,-0.2332,4.6996222242697865,0.1512334697266204
0.4505,0.1458,-0.2102,0.0,0.0
-0.464,-0.2023,0.0296,0.0,0.0
0.0905,-0.0583,-0.1344,0.0,0.0
-0.4757,-0.085,-0.5093,0.0,0.0
0.1348,-0.0824,0.6338,0.0,0.0
0.4229,-0.1358,0.523,0.0,0.0
-0.1286,0.0174,-0.615,0.0,0.0
0.399,0.2155,-0.2157,0.0,0.0
0.1506,-0.0683,0.0717,0.0,0.0
