x,y,z,SaliencyScore,NormalizedScore,Labels,EEGScore,NormalizedEEG,NormalizedCombinedScore
-0.6521,0.005,-0.4263,0.0,0.0,[],0.0,0.0,0.0
0.4575,-0.005,-0.4783,0.0,0.0,[],0.0,0.0,0.0
0.65,-0.0997,-0.11,0.0,0.0,[],0.0,0.0,0.0
-0.0121,0.205,-0.4655,0.0,0.0,[],0.0,0.0,0.0
-0.3318,-0.015,-0.4015,0.0,0.0,[],0.0,0.0,0.0
-0.1749,0.215,0.3,0.0,0.0,[],0.0,0.0,0.0
-0.6587,-0.102,-0.4066,0.0,0.0,[],0.0,0.0,0.0
-0.1377,0.205,0.0935,0.0,0.0,[],0.0,0.0,0.0
-0.0939,0.215,-0.6326,0.0,0.0,[],0.0,0.0,0.0
-0.5947,0.205,-0.3893,0.0,0.0,[],0.0,0.0,0.0
-0.1899,0.005,-0.6544,0.0,0.0,[],0.0,0.0,0.0
0.014,0.005,-0.4671,0.0,0.0,[],0.0,0.0,0.0
-0.3924,0.0204,-0.0905,0.9457843137254901,0.046350281671531345,"['Rejection', 'Rejection', 'Rejection']",-3.0,-0.06521739130434782,-0.0032337405817347447
-0.2779,-0.065,0.5034,0.0,0.0,[],0.0,0.0,0.0
-0.208,0.215,0.1686,0.0,0.0,[],0.0,0.0,0.0
0.0596,0.205,-0.1171,0.0,0.0,[],0.0,0.0,0.0
-0.5772,-0.015,-0.4651,0.0,0.0,[],0.0,0.0,0.0
0.1067,-0.005,-0.3992,0.0,0.0,[],0.0,0.0,0.0
0.4755,-0.015,-0.2861,0.0,0.0,[],0.0,0.0,0.0
0.068,0.005,-0.2605,0.0,0.0,[],0.0,0.0,0.0
0.66,-0.0926,-0.3509,0.0,0.0,[],0.0,0.0,0.0
-0.5942,0.205,-0.1151,0.0,0.0,[],0.0,0.0,0.0
0.3673,-0.015,-0.2822,0.0,0.0,[],0.0,0.0,0.0
-0.6472,-0.005,0.593,0.0,0.0,[],0.0,0.0,0.0
-0.2779,-0.0943,0.1907,0.2561764705882353,0.01255450254044899,['Attention'],1.0,0.08333333333333333,0.004567143830947512
0.06,0.005,-0.0386,0.0,0.0,[],0.0,0.0,0.0
-0.4378,-0.015,0.645,0.0,0.0,[],0.0,0.0,0.0
-0.4888,0.0924,-0.479,0.0,0.0,[],0.0,0.0,0.0
-0.2285,-0.015,0.3508,0.2561764705882353,0.01255450254044899,['Rejection'],-1.0,-0.021739130434782608,-0.0002919651753592788
-0.0153,-0.005,-0.5636,0.0,0.0,[],0.0,0.0,0.0
0.0852,0.205,0.2488,0.0,0.0,[],0.0,0.0,0.0
-0.6068,0.005,-0.3201,0.0,0.0,[],0.0,0.0,0.0
-0.4485,-0.2122,0.5813,0.0,0.0,[],0.0,0.0,0.0
0.1878,0.215,0.1726,0.0,0.0,[],0.0,0.0,0.0
-0.2087,0.0605,-0.1159,0.0,0.0,[],0.0,0.0,0.0
-0.1336,0.1446,0.2944,0.0,0.0,[],0.0,0.0,0.0
-0.1868,-0.005,0.3297,0.25132352941176467,0.0123166732730352,['Rejection'],-1.0,-0.021739130434782608,-0.0002864342621636093
-0.2087,0.1427,0.0418,0.0,0.0,[],0.0,0.0,0.0
-0.6587,-0.0304,-0.3749,0.0,0.0,[],0.0,0.0,0.0
-0.5005,-0.015,0.4727,0.0,0.0,[],0.0,0.0,0.0
-0.1982,-0.005,0.7252,0.0,0.0,[],0.0,0.0,0.0
-0.0992,-0.015,-0.2304,0.0,0.0,[],0.0,0.0,0.0
0.3239,-0.015,-0.3722,0.0,0.0,[],0.0,0.0,0.0
-0.2515,-0.005,0.3136,0.9391666666666666,0.046025969034148906,"['Rejection', 'Rejection', 'Rejection']",-3.0,-0.06521739130434782,-0.0032111141186615512
-0.6115,0.205,-0.4052,0.0,0.0,[],0.0,0.0,0.0
0.0293,-0.0379,-0.479,0.0,0.0,[],0.0,0.0,0.0
0.4727,-0.005,-0.053,0.0,0.0,[],0.0,0.0,0.0
-0.6587,-0.1023,-0.0278,0.0,0.0,[],0.0,0.0,0.0
0.2517,-0.015,-0.2289,0.0,0.0,[],0.0,0.0,0.0
-0.0763,-0.015,-0.4221,0.0,0.0,[],0.0,0.0,0.0
0.1556,0.005,-0.454,0.0,0.0,[],0.0,0.0,0.0
-0.5981,-0.015,0.1845,0.0,0.0,[],0.0,0.0,0.0
-0.1282,0.205,-0.3456,0.0,0.0,[],0.0,0.0,0.0
0.095,0.205,0.174,0.0,0.0,[],0.0,0.0,0.0
0.1675,0.005,-0.2176,0.0,0.0,[],0.0,0.0,0.0
-0.1612,0.215,-0.3662,0.0,0.0,[],0.0,0.0,0.0
-0.1588,-0.015,0.3782,0.25132352941176467,0.0123166732730352,['Rejection'],-1.0,-0.021739130434782608,-0.0002864342621636093
-0.4915,0.1527,-0.479,0.0,0.0,[],0.0,0.0,0.0
-0.1574,0.005,-0.4007,0.0,0.0,[],0.0,0.0,0.0
-0.417,0.205,-0.3705,0.0,0.0,[],0.0,0.0,0.0
-0.1701,-0.005,0.5575,0.0,0.0,[],0.0,0.0,0.0
-0.4803,-0.015,0.3868,0.0,0.0,[],0.0,0.0,0.0
-0.4338,0.215,-0.1,0.0,0.0,[],0.0,0.0,0.0
-0.6587,-0.1614,0.4424,0.0,0.0,[],0.0,0.0,0.0
-0.1693,-0.005,-0.2134,0.0,0.0,[],0.0,0.0,0.0
-0.1522,0.205,-0.3353,0.0,0.0,[],0.0,0.0,0.0
-0.3525,-0.015,0.4142,0.0,0.0,[],0.0,0.0,0.0
-0.6587,0.1742,-0.454,0.0,0.0,[],0.0,0.0,0.0
0.2142,0.215,-0.4892,0.0,0.0,[],0.0,0.0,0.0
-0.1679,-0.015,0.5881,0.0,0.0,[],0.0,0.0,0.0
0.2086,0.005,0.2585,0.0,0.0,[],0.0,0.0,0.0
-0.2308,0.1417,-0.479,0.0,0.0,[],0.0,0.0,0.0
